std,peak,rms,p2p,zcr,pwm,label
0.168210,4.567269,0.170120,1.319824,42,180,tile
0.194746,3.975467,0.195444,1.437193,47,180,tile
0.185395,4.306990,0.185469,1.459021,47,180,tile
0.214592,4.691851,0.215280,1.472162,50,180,tile
0.221227,4.565575,0.221234,1.532466,58,180,tile
0.233309,4.904510,0.233411,1.667173,59,180,tile
0.217184,5.268109,0.217301,1.659076,56,180,tile
0.145352,4.355554,0.147884,1.062013,50,180,tile
0.170704,5.233304,0.170772,1.608796,51,180,tile
0.185362,5.714669,0.186341,1.417204,50,220,tile
0.238130,5.616222,0.238608,1.923030,47,220,tile
0.289786,4.615686,0.290331,2.073670,55,220,tile
0.303488,3.815560,0.303925,1.893240,54,220,tile
0.293853,4.508350,0.293969,1.987602,52,220,tile
0.242474,5.465660,0.242481,1.983338,57,220,tile
0.254815,6.109826,0.256180,2.168333,48,220,tile
0.729297,8.155941,0.731257,9.243025,49,220,tile
0.744710,7.978257,0.747543,9.243025,54,220,tile
0.454624,6.739391,0.456205,4.304407,50,255,tile
0.524904,5.800952,0.530007,3.958536,56,255,tile
0.624100,7.336070,0.624231,7.426251,58,255,tile
0.624288,7.335360,0.624291,7.444952,50,255,tile
0.644231,7.755591,0.648633,5.982738,59,255,tile
1.240228,8.818507,1.242162,15.984544,60,255,tile
1.552721,6.995312,1.565908,12.643761,57,255,tile
1.568852,6.840370,1.574617,15.765052,63,255,tile
1.216376,8.051488,1.216376,14.787724,58,255,tile
0.197928,4.954725,0.197979,1.581392,50,150,mat
0.226524,6.555884,0.226820,2.175937,46,150,mat
0.256026,5.806915,0.256075,2.175937,53,150,mat
0.287902,5.149886,0.288703,2.423939,58,150,mat
0.332292,4.469758,0.332633,2.423939,51,150,mat
0.248449,5.680078,0.248449,2.204690,46,150,mat
0.156022,4.418618,0.156563,1.150870,46,150,mat
0.194679,5.689763,0.196558,1.670817,50,150,mat
0.205506,5.413657,0.206583,1.670817,51,150,mat
0.370952,5.266495,0.372818,2.896159,60,190,mat
0.385254,5.093789,0.385458,2.972414,54,190,mat
0.413241,4.579124,0.413266,2.901365,52,190,mat
0.345654,5.471316,0.345876,2.878402,52,190,mat
0.248028,4.127190,0.248042,2.009725,55,190,mat
0.269412,4.654012,0.270241,1.954749,54,190,mat
0.276561,4.547572,0.276567,2.094425,57,190,mat
0.354598,3.628925,0.354609,2.143165,62,190,mat
0.383950,3.396560,0.384138,2.350887,58,190,mat
0.382409,3.140371,0.388357,2.016856,53,230,mat
0.586976,3.818410,0.589651,3.363895,65,230,mat
0.568555,3.850447,0.584745,3.154807,66,230,mat
0.363711,4.910455,0.363778,2.794649,54,230,mat
0.344726,4.508516,0.345278,2.291919,63,230,mat
0.415161,3.734894,0.416796,3.076034,69,230,mat
0.371692,4.082023,0.372204,2.778753,60,230,mat
0.406198,3.203891,0.411419,2.323282,54,230,mat
0.423609,3.094937,0.425903,2.323282,62,230,mat
0.185699,5.331854,0.186894,1.555358,61,135,carpet
0.185470,4.680977,0.185671,1.468437,60,135,carpet
0.203884,5.117978,0.204281,1.644819,59,135,carpet
0.171787,6.062716,0.172448,1.664417,65,135,carpet
0.219265,5.344695,0.219334,1.800770,66,135,carpet
0.219774,5.332389,0.219840,1.800770,63,135,carpet
0.133679,6.526812,0.133680,1.273138,62,135,carpet
0.161700,4.409889,0.163133,1.103310,56,135,carpet
0.219106,4.329252,0.219112,1.667990,51,135,carpet
0.271147,4.750111,0.271614,2.044877,59,170,carpet
0.328249,4.173904,0.331292,2.196495,60,170,carpet
0.348916,4.300849,0.349858,2.350598,57,170,carpet
0.315932,4.762634,0.315935,2.350598,51,170,carpet
0.236977,5.331393,0.237078,1.955527,57,170,carpet
0.267629,4.713473,0.268159,2.048858,60,170,carpet
0.321520,3.538422,0.322827,1.943100,54,170,carpet
0.275664,4.009478,0.275768,1.906489,49,170,carpet
0.204637,3.632359,0.204905,1.467513,49,170,carpet
0.356075,3.433578,0.357421,2.452171,55,205,carpet
0.381445,5.648877,0.381748,3.267221,59,205,carpet
0.452362,4.763221,0.452729,3.339425,57,205,carpet
0.398696,4.703760,0.399056,3.060042,63,205,carpet
0.323448,3.409340,0.323732,2.199777,58,205,carpet
0.378819,4.809438,0.379645,2.921946,55,205,carpet
0.375186,4.859690,0.375720,2.752749,57,205,carpet
0.328184,4.875906,0.328301,2.727881,56,205,carpet
0.447768,4.976598,0.448479,3.359015,57,205,carpet
0.185353,5.018746,0.185354,1.342928,47,100,gravel
0.193311,5.395636,0.193650,1.452883,42,100,gravel
0.168309,6.192622,0.168727,1.692500,48,100,gravel
0.330506,6.472973,0.331341,2.792397,55,100,gravel
0.343349,6.244859,0.343444,3.064309,55,100,gravel
0.208290,4.707150,0.209028,1.876262,54,100,gravel
0.298196,4.869148,0.298676,2.671266,43,100,gravel
1.040427,8.963821,1.040935,12.345459,39,100,gravel
1.014690,9.176678,1.016790,12.345459,43,100,gravel
0.275268,4.855516,0.275849,2.155987,47,130,gravel
0.257688,4.172605,0.257691,1.891840,51,130,gravel
0.264970,4.674630,0.265466,2.316201,54,130,gravel
0.527886,8.704483,0.528257,5.839163,53,130,gravel
0.556470,8.222496,0.559223,6.031999,51,130,gravel
0.514362,4.908117,0.519113,3.981662,50,130,gravel
0.588278,5.046960,0.591299,5.174617,49,130,gravel
0.501395,5.942878,0.502158,5.344840,47,130,gravel
0.342124,6.873878,0.343413,3.200342,49,130,gravel
0.607330,5.682840,0.608219,5.723789,48,165,gravel
0.460766,4.920620,0.460791,4.130037,45,165,gravel
0.516159,4.340294,0.516233,4.103264,45,165,gravel
0.541509,4.252358,0.545203,3.573442,51,165,gravel
0.905497,7.156973,0.906521,10.621625,57,165,gravel
1.044156,6.188102,1.048456,10.621625,58,165,gravel
0.737777,4.677809,0.740304,6.300129,52,165,gravel
0.583013,4.841081,0.586053,4.923557,47,165,gravel
0.554506,4.602301,0.555103,4.641179,45,165,gravel
