std,peak,rms,p2p,zcr,speed,label
0.140354,6.660152,0.140592,1.364723,57,0.28824,tile
0.098455,4.273690,0.098458,0.793554,55,0.28824,tile
0.104598,4.644563,0.104608,0.838731,53,0.28824,tile
0.119778,4.056331,0.119778,0.916482,59,0.28824,tile
0.153723,4.304273,0.153863,1.215902,57,0.28824,tile
0.180667,3.967454,0.180806,1.408966,59,0.28824,tile
0.163758,4.379255,0.163804,1.408966,61,0.28824,tile
0.152931,3.906622,0.153001,1.088217,59,0.28824,tile
0.134736,4.433107,0.134830,1.015319,59,0.28824,tile
0.129596,6.895070,0.129634,1.311436,55,0.28824,tile
0.129363,6.909503,0.129363,1.347970,57,0.28824,tile
0.132848,6.119778,0.132858,1.267201,55,0.28824,tile
0.161391,5.187209,0.161653,1.309135,48,0.28824,tile
0.153509,5.863642,0.153511,1.370742,54,0.28824,tile
0.153952,5.846589,0.153959,1.380067,61,0.28824,tile
0.144824,5.866411,0.144828,1.329554,56,0.28824,tile
0.147155,6.000627,0.147313,1.223405,52,0.28824,tile
0.166426,6.071300,0.166427,1.541839,46,0.35000,tile
0.170496,3.662133,0.170550,1.171511,51,0.35000,tile
0.183901,3.189013,0.183936,1.089366,59,0.35000,tile
0.185137,3.942096,0.185189,1.350572,55,0.35000,tile
0.187263,4.178330,0.187347,1.512831,56,0.35000,tile
0.203588,3.842670,0.203712,1.540656,55,0.35000,tile
0.197183,3.843421,0.197183,1.497435,57,0.35000,tile
0.166125,4.801569,0.166125,1.537237,58,0.35000,tile
0.170608,6.058656,0.170650,1.668911,53,0.35000,tile
0.184414,5.761958,0.184546,1.698350,54,0.35000,tile
0.197758,6.276929,0.197782,1.888156,55,0.35000,tile
0.172290,7.188090,0.172711,1.888156,46,0.35000,tile
0.159317,6.707630,0.159813,1.691647,47,0.35000,tile
0.172641,6.209137,0.172643,1.691647,49,0.35000,tile
0.181018,6.108092,0.181788,1.517462,53,0.35000,tile
0.203451,5.418438,0.204925,1.505510,56,0.35000,tile
0.190541,5.069246,0.191080,1.343723,57,0.35000,tile
0.086188,3.986537,0.087554,0.573566,66,0.41176,tile
0.072830,2.801870,0.080135,0.334783,55,0.41176,tile
0.103708,2.972740,0.114602,0.548750,40,0.41176,tile
0.123045,2.720551,0.140185,0.589448,39,0.41176,tile
0.188608,4.399847,0.199237,1.134374,48,0.41176,tile
0.205364,4.221192,0.207670,1.331259,55,0.41176,tile
0.178447,2.934816,0.178637,1.021366,53,0.41176,tile
0.166132,3.134493,0.167257,1.021366,47,0.41176,tile
0.122306,3.346663,0.122331,0.780421,42,0.41176,tile
0.784649,7.187138,0.795475,5.843800,32,0.41176,tile
1.307801,6.721526,1.332929,9.610691,40,0.41176,tile
1.067459,8.319393,1.076920,9.610691,51,0.41176,tile
1.113089,6.982872,1.126305,8.432117,50,0.41176,tile
1.109731,7.005391,1.122684,8.405116,53,0.41176,tile
